"Colony","TDR_ID","Date","Behaviour","Hours","Expenditure"
"Whinnyfold","A16666",2019-12-03,"Active",5.58,480.262651420738
"Whinnyfold","A16666",2019-12-08,"Active",6.36,550.61203125
"Whinnyfold","A16666",2019-12-13,"Active",4.57666666666667,402.337918460067
"Whinnyfold","A16666",2019-12-18,"Active",3.61333333333333,321.925416666667
"Whinnyfold","A16666",2019-12-23,"Active",2.54,227.2109375
"Whinnyfold","A16666",2019-12-28,"Active",9.45333333333333,843.541190476191
"Whinnyfold","A16666",2020-01-02,"Active",4.00333333333333,361.695899122807
"Whinnyfold","A16666",2020-01-07,"Active",4.82,440.718708333333
"Whinnyfold","A16666",2020-01-12,"Active",4.65333333333333,426.452552083333
"Whinnyfold","A16666",2020-01-17,"Active",7,642.691664777878
"Whinnyfold","A16666",2020-01-22,"Active",3.75,348.063616071429
"Whinnyfold","A16666",2020-01-27,"Active",6.83,631.742984375
"Whinnyfold","A16666",2020-02-01,"Active",6.25333333333333,579.666901041667
"Whinnyfold","A16666",2020-02-06,"Active",2.80333333333333,262.571588541667
"Whinnyfold","A16666",2020-02-11,"Active",6.83,637.703819444444
"Whinnyfold","A16666",2020-02-16,"Active",11.9166666666667,1124.72479166667
"Whinnyfold","A16666",2020-02-21,"Active",3.45666666666667,327.992796474359
"Whinnyfold","A16666",2020-02-26,"Active",3.81,366.61725
"Whinnyfold","A16666",2020-03-02,"Active",6.05,573.4265625
"Whinnyfold","A16666",2020-03-07,"Active",6.58333333333333,629.833792892157
"Whinnyfold","A16666",2020-03-12,"Active",6.74666666666667,630.862941176471
"Whinnyfold","A16666",2020-03-17,"Active",1.02333333333333,98.2240104166667
"Whinnyfold","A16667",2019-07-11,"Active",8.15333333333333,561.560833333333
"Whinnyfold","A16667",2019-07-16,"Active",10.2833333333333,726.265460341928
"Whinnyfold","A16667",2019-07-21,"Active",4.77,321.1501875
"Whinnyfold","A16667",2019-07-26,"Active",7.24333333333333,417.830928819444
"Whinnyfold","A16667",2019-07-31,"Active",5.95666666666667,380.2959375
"Whinnyfold","A16667",2019-08-05,"Active",12.78,784.644075
"Whinnyfold","A16667",2019-08-10,"Active",13.5566666666667,853.303402777778
"Whinnyfold","A16667",2019-08-15,"Active",9.11333333333333,590.373125
"Whinnyfold","A16667",2019-08-20,"Active",6.49,400.216666666667
"Whinnyfold","A16667",2019-08-25,"Active",6.59333333333333,384.344697020609
"Whinnyfold","A16667",2019-08-30,"Active",6.70333333333333,391.426785714286
"Whinnyfold","A16667",2019-09-04,"Active",6.97333333333333,434.07443452381
"Whinnyfold","A16667",2019-09-09,"Active",9.50666666666667,597.1375
"Whinnyfold","A16667",2019-09-14,"Active",10.3866666666667,662.642630023641
"Whinnyfold","A16667",2019-09-19,"Active",10,636.617647058824
"Whinnyfold","A16667",2019-09-24,"Active",9.38666666666667,604.12
"Whinnyfold","A16667",2019-09-29,"Active",9.06666666666667,600.435116394254
"Whinnyfold","A16667",2019-10-04,"Active",7.75666666666667,528.044173177083
"Whinnyfold","A16667",2019-10-09,"Active",5.74333333333333,411.960774739583
"Whinnyfold","A16667",2019-10-14,"Active",9.5,681.191893236074
"Whinnyfold","A16667",2019-10-19,"Active",10.8366666666667,814.223109375
"Whinnyfold","A16667",2019-10-24,"Active",7.05666666666667,520.153577085656
"Whinnyfold","A16667",2019-10-29,"Active",12.22,912.07025
"Whinnyfold","A16667",2019-11-03,"Active",7.57333333333333,580.306666666667
"Whinnyfold","A16667",2019-11-08,"Active",8.68666666666667,678.964501811594
"Whinnyfold","A16667",2019-11-13,"Active",15.2433333333333,1217.56125
"Whinnyfold","A16667",2019-11-18,"Active",5.54666666666667,451.36
"Whinnyfold","A16667",2019-11-23,"Active",9.21333333333333,768.579145833333
"Whinnyfold","A16667",2019-11-28,"Active",6.22,517.110390625
"Whinnyfold","A16667",2019-12-03,"Active",16.2233333333333,1394.94378858025
"Whinnyfold","A16667",2019-12-08,"Active",12.68,1082.50546875
"Whinnyfold","A16667",2019-12-13,"Active",4.29,382.025807926829
"Whinnyfold","A16667",2019-12-18,"Active",6.57666666666667,581.135632626179
"Whinnyfold","A16667",2019-12-23,"Active",12.4833333333333,1112.38203125
"Whinnyfold","A16667",2019-12-28,"Active",9.58666666666667,839.091594827586
"Whinnyfold","A16667",2020-01-02,"Active",12.5033333333333,1141.14623842593
"Whinnyfold","A16667",2020-01-07,"Active",13.6033333333333,1264.83793333333
"Whinnyfold","A16667",2020-01-12,"Active",13.2133333333333,1234.85678571429
"Whinnyfold","A16667",2020-01-17,"Active",8.09333333333333,757.185078125
"Whinnyfold","A16667",2020-01-22,"Active",15.2,1396.37435775452
"Whinnyfold","A16667",2020-01-27,"Active",9.2,835.02578125
"Whinnyfold","A16667",2020-02-01,"Active",15.7466666666667,1406.8166338628
"Whinnyfold","A16667",2020-02-06,"Active",9.22,811.054926470588
"Whinnyfold","A16667",2020-02-11,"Active",15.9333333333333,1475.72126736111
"Whinnyfold","A16667",2020-02-16,"Active",15.3966666666667,1332.47604513427
"Whinnyfold","A16667",2020-02-21,"Active",9.17666666666667,798.957880208333
"Whinnyfold","A16667",2020-02-26,"Active",17.0133333333333,1517.33413333333
"Whinnyfold","A16668",2019-07-21,"Active",6.87333333333333,502.509773550725
"Whinnyfold","A16668",2019-07-26,"Active",12.1266666666667,854.009672619048
"Whinnyfold","A16668",2019-07-31,"Active",6.07666666666667,404.668020833333
"Whinnyfold","A16668",2019-08-05,"Active",3.42,228.356617268041
"Whinnyfold","A16668",2019-08-10,"Active",6.62333333333333,446.536854166667
"Whinnyfold","A16668",2019-08-15,"Active",15.4033333333333,1096.80558159722
"Whinnyfold","A16668",2019-08-20,"Active",6.42666666666667,470.738988095238
"Whinnyfold","A16668",2019-08-25,"Active",4.91333333333333,333.746215574549
"Whinnyfold","A16668",2019-08-30,"Active",5.70666666666667,400.780701754386
"Whinnyfold","A16668",2019-09-04,"Active",4.35,312.278645833333
"Whinnyfold","A16668",2019-09-09,"Active",5.56333333333333,385.782395833333
"Whinnyfold","A16668",2019-09-14,"Active",9.05,696.542595108696
"Whinnyfold","A16668",2019-09-19,"Active",2.99666666666667,235.269548611111
"Whinnyfold","A16668",2019-09-24,"Active",5.03666666666667,385.619791666667
"Whinnyfold","A16668",2019-09-29,"Active",4.55666666666667,339.186875
"Whinnyfold","A16668",2019-10-04,"Active",12.4566666666667,836.747900219298
"Whinnyfold","A16668",2019-10-09,"Active",2.47,198.4490625
"Whinnyfold","A16668",2019-10-14,"Active",7.46666666666667,582.85
"Whinnyfold","A16668",2019-10-19,"Active",3.46333333333333,279.976828703704
"Whinnyfold","A16668",2019-10-24,"Active",3.92333333333333,316.226796875
"Whinnyfold","A16668",2019-10-29,"Active",6.47333333333333,451.623926282051
"Whinnyfold","A16668",2019-11-03,"Active",4.34,297.968125
"Whinnyfold","A16668",2019-11-08,"Active",15.86,1322.92933035714
"Whinnyfold","A16668",2019-11-13,"Active",6.32666666666667,510.735524047187
"Whinnyfold","A16668",2019-11-18,"Active",11.8566666666667,1019.17930555556
"Whinnyfold","A16668",2019-11-23,"Active",4.57666666666667,395.500277777778
"Whinnyfold","A16668",2019-11-28,"Active",11.4766666666667,984.735974264706
"Whinnyfold","A16668",2019-12-03,"Active",10.7066666666667,936.766416666667
"Whinnyfold","A16668",2019-12-08,"Active",8.41666666666667,738.637648809524
"Whinnyfold","A16668",2019-12-13,"Active",3.13666666666667,272.72896577381
"Whinnyfold","A16668",2019-12-18,"Active",9.52,833.595
"Whinnyfold","A16668",2019-12-28,"Active",14.4933333333333,1303.70984126984
"Whinnyfold","A16668",2020-01-02,"Active",9.02666666666667,799.988333333333
"Whinnyfold","A16668",2020-01-07,"Active",10.21,892.341845238095
"Whinnyfold","A16668",2020-01-12,"Active",6.1,536.631370192308
"Whinnyfold","A16668",2020-01-17,"Active",16.6933333333333,1518.82007936508
"Whinnyfold","A16668",2020-01-22,"Active",4.62,401.65125
"Whinnyfold","A16668",2020-01-27,"Active",12.9533333333333,1184.37780701754
"Whinnyfold","A16668",2020-02-01,"Active",7.05,641.896205357143
"Whinnyfold","A16668",2020-02-06,"Active",9.51,871.948125
"Whinnyfold","A16668",2020-02-11,"Active",12.59,1155.43192331827
"Whinnyfold","A16668",2020-02-16,"Active",18.5,1710.31997282609
"Whinnyfold","A16668",2020-02-21,"Active",9.34,884.501433823529
"Whinnyfold","A16668",2020-02-26,"Active",1.6,153.3
"Whinnyfold","A16668",2020-03-02,"Active",16,1522.64705882353
"Whinnyfold","A16668",2020-03-07,"Active",9.65,921.6880859375
"Whinnyfold","A16668",2020-03-12,"Active",8.63,808.073645833333
"Whinnyfold","A16668",2020-03-17,"Active",2.84666666666667,271.767708333333
"Whinnyfold","A16669",2019-07-31,"Active",8.79666666666667,589.771829427083
"Whinnyfold","A16669",2019-08-05,"Active",10.0166666666667,715.744494047619
"Whinnyfold","A16669",2019-08-10,"Active",8.42333333333333,624.449777777778
"Whinnyfold","A16669",2019-08-15,"Active",11.0433333333333,813.689890873016
"Whinnyfold","A16669",2019-08-20,"Active",12.63,964.09
"Whinnyfold","A16669",2019-08-25,"Active",9.81333333333333,700.227333333333
"Whinnyfold","A16669",2019-08-30,"Active",15.0233333333333,1112.95139492754
"Whinnyfold","A16669",2019-09-04,"Active",13.7133333333333,973.395514623565
"Whinnyfold","A16669",2019-09-09,"Active",10.9866666666667,835.601052631579
"Whinnyfold","A16669",2019-09-14,"Active",14.13,1103.415625
"Whinnyfold","A16669",2019-09-19,"Active",11.7833333333333,719.888020833333
"Whinnyfold","A16669",2019-09-24,"Active",9.42333333333333,658.128217592593
"Whinnyfold","A16669",2019-09-29,"Active",12.12,938.431733490566
"Whinnyfold","A16669",2019-10-04,"Active",7.49333333333333,533.834433333333
"Whinnyfold","A16669",2019-10-09,"Active",5.69666666666667,407.144772135417
"Whinnyfold","A16669",2019-10-19,"Active",11.38,901.59828125
"Whinnyfold","A16669",2019-10-24,"Active",4.39666666666667,352.286921868399
"Whinnyfold","A16669",2019-11-03,"Active",6.96666666666667,577.847303156434
"Whinnyfold","A16669",2019-11-08,"Active",7.62333333333333,583.780572916667
"Whinnyfold","A16669",2019-11-18,"Active",6.67666666666667,542.412101934524
"Whinnyfold","A16669",2019-11-23,"Active",11.5433333333333,913.024506578947
"Whinnyfold","A16669",2019-11-28,"Active",7.37333333333333,643.796967592593
"Whinnyfold","A16669",2019-12-03,"Active",4.86666666666667,414.176145833333
"Whinnyfold","A16669",2019-12-08,"Active",12.7166666666667,1093.83203125
"Whinnyfold","A16669",2019-12-13,"Active",6.25,476.674107142857
"Whinnyfold","A16669",2019-12-18,"Active",7.04,615.748571428571
"Whinnyfold","A16669",2019-12-23,"Active",11.4333333333333,966.507986111111
"Whinnyfold","A16669",2019-12-28,"Active",16.9333333333333,1506.62105263158
"Whinnyfold","A16669",2020-01-02,"Active",13.2833333333333,1188.1269593254
"Whinnyfold","A16669",2020-01-12,"Active",11.7666666666667,987.741995614035
"Whinnyfold","A16669",2020-01-17,"Active",8.08666666666667,727.874325980392
"Whinnyfold","A16669",2020-01-22,"Active",5.57,457.244044177524
