Country,Name,Status,Year,Owner,Turbine_type,Number_turbines,Turbine_model,Proxy_turbine,Turbine_MW,Rotor_radius,Airgap,Data_source
Germany,Riffgat,Production,2014,EWE AG,Fixed,30,SWT-3.6-120,,3.6,60,30,https://www.ewe.com/en/ewe-group/company/group-structure/offshore-windpark-riffgat
Germany,Sandbank,Production,2017,Sandbank Offshore Wind GmbH,Fixed,72,SWT-4.0-130,,4,65,,https://powerplants.vattenfall.com/de/sandbank/
Germany,Trianel Windpark Borkum Phase 1,Production,2015,Trianel Windkraftwerk Borkum GmbH & Co. KG,Fixed,40,M5000-116,,5,58,32,http://www.trianel-borkum.de
Germany,Trianel Windpark Borkum Phase 2,Production,2020,Trianel Windkraftwerk Borkum GmbH & Co. KG,Fixed,32,6.2M152,,6.15,76,33,
Germany,Veja Mate,Production,2017,Veja Mate Offshore Project GmbH,Fixed,67,SWT-6.0-154,,6,77,28,http://www.vejamate.de/
Netherlands,Borssele Kavel I and II,Production,2020,Ørsted A/S,Fixed,94,SG 8.0-167 DD,,8,83.5,,https://orsted.nl/nl/duurzame-energie/wind-op-zee/borssele-1-en-2
Netherlands,Borssele Kavel III and IV,Production,2020,Blauwwind II Consortium,Fixed,77,V164-9.5 MW,,9.5,82,,https://www.blauwwind.nl/
Netherlands,Borssele Kavel V,Production,2020,Two Towers BV,Fixed,2,V164-9.5 MW,,9.5,82,,https://www.vanoord.com/en/updates/borssele-wind-farm-site-v-turning-innovations-reality/
Netherlands,Buitengaats / Gemini I,Production,2017,"Northland Power, Inc.",Fixed,75,SWT-4.0-130,,4,65,,https://geminiwindpark.nl/
Netherlands,Doordewind,Planned,2030,,Fixed,268,,IEA-15MW-240-RWT,15,120,30,
Netherlands,HKN Kavel V,Approved,2023,CrossWind C.V.,Fixed,69,SG 11.0-200 DD,,11,100,,https://www.noordzeeloket.nl/en/functions-and-use/offshore-wind-energy/free-passage-shared-use/hollandse-kust-noord-wind-farm-zone-including/
Netherlands,HKW Kavel VI,Approved,2026,"Shell Wind Energy Ltd, Eneco",Fixed,69,SG 11.0-200 DD,,11,100,30,
Netherlands,HKW Kavel VII,Approved,2026,Oranje Wind Power II,Fixed,69,SG 11.0-200 DD,,11,100,30,
Netherlands,HKZ Kavel I,Construction,2023,Vattenfall AB,Fixed,35,SG 11.0-193 DD,,11,96.5,,https://vattenfall-hollandsekust.nl/en/wind-farm/
Netherlands,HKZ Kavel II,Construction,2023,Vattenfall AB,Fixed,35,SG 11.0-193 DD,,11,96.5,,https://vattenfall-hollandsekust.nl/en/wind-farm/
Netherlands,HKZ Kavel III,Construction,2023,Vattenfall AB,Fixed,35,SG 11.0-193 DD,,11,96.5,,https://vattenfall-hollandsekust.nl/en/wind-farm/
Netherlands,HKZ Kavel IV,Construction,2023,Vattenfall AB,Fixed,35,SG 11.0-193 DD,,11,96.5,,https://vattenfall-hollandsekust.nl/en/wind-farm/
Netherlands,Hollandse Kust west zuiderlijk deel,Planned,2030,,Fixed,43,,IEA-15MW-240-RWT,15,120,30,
Netherlands,IJmuiden Ver 2021,Planned,2030,,Fixed,200,,IEA-15MW-240-RWT,15,120,30,
Netherlands,IJmuiden ver Noord,Planned,2030,,Fixed,200,,IEA-15MW-240-RWT,15,120,30,
Netherlands,Nederwiek noord,Planned,2030,,Fixed,134,,IEA-15MW-240-RWT,15,120,30,
Netherlands,Nederwiek zuid,Planned,2030,,Fixed,134,,IEA-15MW-240-RWT,15,120,30,
Netherlands,NSW Offshore windpark Egmond aan Zee,Production,2007,Shell Wind Energy Ltd,Fixed,36,V90-3.0 MW,,3,45,,https://www.noordzeeloket.nl/en/functions-and-use/offshore-wind-energy/free-passage-shared-use/offshore-wind-farm-egmond-aan-zee-owez/
Netherlands,Prinses Amalia Windparken,Production,2008,Eneco Wind B.V. O&M Base,Fixed,60,V80-2.0 MW,,2,40,20,https://www.noordzeeloket.nl/en/functions-and-use/offshore-wind-energy/free-passage-shared-use/hollandse-kust-noord-wind-farm-zone-including/
Netherlands,Ten noorden van de Wadden west,Planned,2030,,Fixed,47,,IEA-15MW-240-RWT,15,120,30,
Netherlands,WP Q10 / Eneco Luchterduinen,Production,2015,Eneco Wind B.V. O&M Base,Fixed,43,V112-3.0 MW,,3,55,26,https://www.eneco.com/what-we-do/sustainable-sources/eneco-luchterduinen-wind-farm/
Netherlands,ZeeEnergie / Gemini II,Production,2017,"Northland Power, Inc.",Fixed,75,SWT-4.0-130,,4,65,,https://geminiwindpark.nl/
Norway,Hywind Tampen,Production,2022,Equinor,Floating,11,,,8.8,85,,
Norway,SorNordsjo II Phase 1,Planned,2030,NVE,Fixed,100,,IEA-15MW-240-RWT,15,120,30,https://veiledere.nve.no/havvind/identifisering-av-utredningsomrader-for-havvind/sorlige-nordsjo-ii-og-utsira-nord/sorlige-nordsjo-ii/
Norway,Sorvest F1,Planned,2030,NVE,Fixed,167,,IEA-15MW-240-RWT,15,120,30,https://veiledere.nve.no/havvind/identifisering-av-utredningsomrader-for-havvind/nye-omrader-for-havvind/sorvest-f-inkl-sorlige-nordsjo-ii/
Norway,Sorvest F2,Planned,2030,NVE,Fixed,167,,IEA-15MW-240-RWT,15,120,30,https://veiledere.nve.no/havvind/identifisering-av-utredningsomrader-for-havvind/nye-omrader-for-havvind/sorvest-f-inkl-sorlige-nordsjo-ii/
Norway,Sorvest F3,Planned,2030,NVE,Fixed,167,,IEA-15MW-240-RWT,15,120,30,https://veiledere.nve.no/havvind/identifisering-av-utredningsomrader-for-havvind/nye-omrader-for-havvind/sorvest-f-inkl-sorlige-nordsjo-ii/
Norway,Sorvest F4,Planned,2030,NVE,Fixed,167,,IEA-15MW-240-RWT,15,120,30,https://veiledere.nve.no/havvind/identifisering-av-utredningsomrader-for-havvind/nye-omrader-for-havvind/sorvest-f-inkl-sorlige-nordsjo-ii/
Norway,Utsira Nord 1,Planned,2030,NVE,Floating,50,,IEA-15MW-240-RWT,15,120,30,https://veiledere.nve.no/havvind/identifisering-av-utredningsomrader-for-havvind/nye-omrader-for-havvind/vestavind-f-inkl-utsira-nord/
